dessert_category,region,query,name,road_address,jibun_address,telephone,external_link,category_text,mapx,mapy,longitude,latitude,geocode_error
saltbread,daegu,대구 임당역 소금빵,시오다과,경상북도 경산시 남매공원로2길 38 1층,경상북도 경산시 계양동 781 1층,,https://www.instagram.com/sio_bakery,"음식점>카페,디저트",1287441809,358324988,128.7441809,35.8324988,
saltbread,daegu,대구 정평역 소금빵,카페잇슈 크림도너츠 카페,경상북도 경산시 대학로12길 15,경상북도 경산시 정평동 230-6,,,"음식점>카페,디저트",1287294040,358325156,128.729404,35.8325156,
saltbread,daegu,대구 임당역 소금빵,디디얌,경상북도 경산시 남매공원로1길 16 (계양동)DIDIYAM,경상북도 경산시 계양동 730 DIDIYAM,,https://smartstore.naver.com/didiyam/,"카페,디저트>베이커리",1287428500,358332606,128.74285,35.8332607,
saltbread,daegu,대구 정평역 소금빵,정평당,경상북도 경산시 대학로8길 11 정평당,경상북도 경산시 정평동 201-1 정평당,,https://www.instagram.com/bakery_jeongpyeong_d,"음식점>카페,디저트",1287268269,358333652,128.7268269,35.8333653,
saltbread,daegu,대구 임당역 소금빵,COZY COFFEE STAND,경상북도 경산시 남매로 253 라동 103호,경상북도 경산시 중방동 96-1 라동 103호,,http://www.instagram.com/cozycoffeestand,"음식점>카페,디저트",1287408711,358333857,128.7408343,35.8333733,
saltbread,daegu,대구 정평역 소금빵,로위스,경상북도 경산시 대학로9길 11 중산상가 1층 105호 로위스,경상북도 경산시 정평동 158-11 중산상가 1층 105호 로위스,,http://pf.kakao.com/_zWmxdn/chat,"음식점>카페,디저트",1287275311,358354517,128.7275017,35.8354631,
saltbread,daegu,대구 정평역 소금빵,베이커리 정남향,경상북도 경산시 대학로 59-18 1층,경상북도 경산시 정평동 130-17 1층,,https://naver.me/59UgiGIi,"카페,디저트>베이커리",1287293879,358358287,128.7294126,35.8357694,
saltbread,daegu,대구 영남대역 소금빵,샐러디아 경산점,경상북도 경산시 대학로 315 2동 1층,경상북도 경산시 조영동 283-1 2동 1층,,https://100원커피이벤트-선착순주문하기.com,"음식점>도시락,컵밥>다이어트,샐러드",1287556143,358385680,128.7556143,35.838568,
saltbread,daegu,대구 영남대역 소금빵,그리다빵 영남대본점,경상북도 경산시 청운1로 26 그리다빵영남대본점,경상북도 경산시 조영동 583-1 그리다빵영남대본점,,http://www.instagram.com/gridabread,"카페,디저트>베이커리",1287533170,358387182,128.7533087,35.838657,
saltbread,daegu,대구 사월역 소금빵,마고포레스트&마고플레인,경상북도 경산시 경안로73길 20 마고포레스트,경상북도 경산시 대평동 94-10 마고포레스트,,https://www.instagram.com/margaux__plain/,"음식점>카페,디저트",1287307352,358400032,128.7307047,35.840041,
saltbread,daegu,대구 하양역 소금빵,스텀프하우스,경상북도 경산시 하양읍 대경로 669,경상북도 경산시 하양읍 금락리 116-290,,,"음식점>카페,디저트",1288145857,359086242,128.8145857,35.9086242,
saltbread,daegu,대구 하양역 소금빵,카페거기 본점,경상북도 경산시 하양읍 하양로 89 2층,경상북도 경산시 하양읍 금락리 113-8 2층,,https://www.instagram.com/cafe_geogi,"음식점>카페,디저트",1288176423,359128035,128.8176423,35.9128036,
saltbread,daegu,대구 하양역 소금빵,말랑베이커리,경상북도 경산시 하양읍 서사도리9로 27 113호,경상북도 경산시 하양읍 서사리 343 113호,,https://www.instagram.com/marlang_bakery?igsh=MWpic3h0cWZtcWF2eQ==,"카페,디저트>베이커리",1288128711,359167221,128.8129432,35.9165704,
